   k  l     Obj         Vio    Bou   ML       |KKT|    |dX|     ||dX|| 
  87  T 0   4.738e-02   0e+00  0.95  9.4e-02  1.0e-04  8.5e-02  2.8e-01
  88  T 0   4.735e-02   0e+00  0.95  1.0e-01  1.0e-04  7.3e-02  2.6e-01
  89  T 0   4.733e-02   0e+00  0.95  1.0e-01  1.0e-04  4.7e-02  2.4e-01
  90  T 0   4.730e-02   0e+00  0.95  5.1e-02  1.0e-04  5.1e-02  2.5e-01
  91  T 0   4.727e-02   0e+00  0.94  5.6e-02  1.0e-04  5.6e-02  2.8e-01
  92  T 0   4.723e-02   0e+00  0.94  6.2e-02  1.0e-04  6.2e-02  3.0e-01
  93  T 0   4.720e-02   0e+00  0.94  6.8e-02  1.0e-04  6.8e-02  3.2e-01
  94  T 0   4.716e-02   0e+00  0.94  7.5e-02  9.9e-05  7.5e-02  3.5e-01
  95  T 0   4.712e-02   0e+00  0.94  8.3e-02  9.9e-05  8.3e-02  3.6e-01
  96  T 0   4.708e-02   0e+00  0.94  9.1e-02  9.8e-05  9.1e-02  3.9e-01
  97  T 0   4.705e-02   0e+00  0.94  1.0e-01  9.8e-05  1.0e-01  2.7e-01
  98  T 0   4.702e-02   0e+00  0.94  1.0e-01  9.7e-05  6.1e-02  2.7e-01
  99  T 0   4.699e-02   0e+00  0.94  6.7e-02  9.7e-05  6.7e-02  2.8e-01
 100  T 0   4.696e-02   0e+00  0.94  7.3e-02  9.7e-05  7.3e-02  3.0e-01
 101  T 0   4.692e-02   0e+00  0.94  8.1e-02  9.6e-05  8.1e-02  3.1e-01
 102  T 0   4.688e-02   0e+00  0.94  8.9e-02  9.6e-05  8.9e-02  3.3e-01
 103  T 0   4.684e-02   0e+00  0.94  9.7e-02  9.5e-05  8.9e-02  3.3e-01
 104  T 0   4.680e-02   0e+00  0.94  1.0e-01  9.5e-05  8.9e-02  3.3e-01
 105  T 0   4.677e-02   0e+00  0.94  1.0e-01  9.4e-05  8.9e-02  2.6e-01
 106  T 0   4.674e-02   0e+00  0.94  1.0e-01  9.4e-05  4.9e-02  2.5e-01
 107  T 0   4.670e-02   0e+00  0.95  1.0e-01  9.4e-05  5.4e-02  2.8e-01
 108  T 0   4.666e-02   0e+00  0.95  5.9e-02  9.3e-05  5.9e-02  2.9e-01
 109  T 0   4.662e-02   0e+00  0.95  6.5e-02  9.2e-05  6.5e-02  3.1e-01
 110  T 0   4.657e-02   0e+00  0.95  7.1e-02  9.2e-05  7.1e-02  3.3e-01
 111  T 0   4.652e-02   0e+00  0.95  7.8e-02  9.1e-05  7.8e-02  3.6e-01
 112  T 0   4.647e-02   0e+00  0.95  8.6e-02  9.0e-05  8.6e-02  3.9e-01
 113  T 0   4.642e-02   0e+00  0.95  9.5e-02  8.9e-05  9.5e-02  3.1e-01
 114  T 0   4.638e-02   0e+00  0.95  1.0e-01  8.8e-05  5.1e-02  2.3e-01
 115  T 0   4.634e-02   0e+00  0.95  1.0e-01  8.7e-05  5.2e-02  2.3e-01
 116  T 0   4.629e-02   0e+00  0.95  5.7e-02  8.6e-05  5.7e-02  2.5e-01
 117  T 0   4.624e-02   0e+00  0.95  6.3e-02  8.5e-05  6.3e-02  2.6e-01
 118  T 0   4.619e-02   0e+00  0.95  7.0e-02  8.4e-05  7.0e-02  2.8e-01
 119  T 0   4.613e-02   0e+00  0.95  7.6e-02  8.3e-05  7.6e-02  2.9e-01
 120  T 0   4.607e-02   0e+00  0.95  8.4e-02  8.1e-05  8.4e-02  3.1e-01
 121  T 0   4.600e-02   0e+00  0.95  9.3e-02  8.0e-05  7.5e-02  3.0e-01
 122  T 0   4.594e-02   0e+00  0.95  1.0e-01  7.9e-05  4.6e-02  2.1e-01
 123  T 0   4.588e-02   0e+00  0.95  5.1e-02  7.7e-05  5.1e-02  2.3e-01
 124  T 0   4.582e-02   0e+00  0.95  5.6e-02  7.6e-05  5.6e-02  2.4e-01
 125  T 0   4.574e-02   0e+00  0.95  6.2e-02  7.6e-05  6.2e-02  2.7e-01
 126  T 0   4.567e-02   0e+00  0.95  6.8e-02  7.6e-05  6.8e-02  2.9e-01
 127  T 0   4.558e-02   0e+00  0.95  7.5e-02  7.5e-05  7.5e-02  3.1e-01
 128  T 0   4.550e-02   0e+00  0.95  8.2e-02  7.5e-05  8.2e-02  3.4e-01
 129  T 0   4.540e-02   0e+00  0.95  9.0e-02  7.4e-05  9.0e-02  3.7e-01
 130  T 0   4.532e-02   0e+00  0.95  9.9e-02  7.3e-05  6.0e-02  3.1e-01
 131  T 0   4.522e-02   0e+00  0.95  1.0e-01  7.2e-05  6.6e-02  3.3e-01
 132  T 0   4.513e-02   0e+00  0.96  7.3e-02  7.1e-05  7.3e-02  3.6e-01
 133  T 0   4.503e-02   0e+00  0.96  8.0e-02  6.9e-05  6.0e-02  3.9e-01
 134  T 0   4.492e-02   0e+00  0.96  8.8e-02  6.7e-05  6.6e-02  4.2e-01
 135  T 0   4.481e-02   0e+00  0.96  7.3e-02  6.5e-05  7.3e-02  4.6e-01
 136  T 0   4.469e-02   0e+00  0.96  8.0e-02  6.3e-05  8.0e-02  5.0e-01
 137  T 0   4.457e-02   0e+00  0.96  8.8e-02  6.2e-05  8.8e-02  5.5e-01
 138  T 0   4.445e-02   0e+00  0.96  9.7e-02  6.1e-05  8.8e-02  4.8e-01
 139  T 0   4.435e-02   0e+00  0.96  1.0e-01  6.1e-05  9.7e-02  5.0e-01
 140  T 0   4.423e-02   0e+00  0.96  1.0e-01  6.0e-05  1.0e-01  5.3e-01
 141  T 0   4.411e-02   0e+00  0.96  1.0e-01  5.9e-05  7.7e-02  5.7e-01
 142  T 0   4.399e-02   0e+00  0.96  1.0e-01  5.9e-05  8.4e-02  6.2e-01
 143  T 0   4.388e-02   0e+00  0.97  9.3e-02  5.8e-05  9.3e-02  6.3e-01
 144  T 0   4.379e-02   0e+00  0.97  1.0e-01  5.6e-05  8.4e-02  5.8e-01
 145  T 0   4.371e-02   0e+00  0.97  1.0e-01  5.5e-05  8.6e-02  5.5e-01
 146  T 0   4.365e-02   0e+00  0.97  1.0e-01  5.6e-05  9.3e-02  4.7e-01
 147  T 0   4.360e-02   0e+00  0.97  1.0e-01  5.7e-05  8.4e-02  4.2e-01
 148  T 0   4.355e-02   0e+00  0.97  1.0e-01  5.8e-05  1.0e-01  4.3e-01
 149  T 0   4.350e-02   0e+00  0.97  1.0e-01  5.9e-05  7.7e-02  4.3e-01
 150  T 0   4.345e-02   0e+00  0.97  8.4e-02  6.0e-05  8.4e-02  4.6e-01
